,0,1
0,Sun,244.12657970181232
1,Moon,242.7108653907445
2,Mercury,236.2278763111009
3,Venus,290.2287918573769
4,Mars,170.26972834856304
5,Jupiter,209.8783319250483
6,Saturn,198.71651345119048
7,Uranus,240.61703496030867
8,Neptune,263.8224849561584
9,Pluto,205.77439191738202
10,mean Node,115.0653519242713
11,true Node,113.45518310055748
12,mean Apogee,247.08366919388885
13,osc. Apogee,245.96045595225112
14,Earth,0.0
15,Chiron,49.672663202770565
16,Pholus,2.503927583045689
17,Ceres,204.7923062263608
18,Pallas,183.67552282171016
19,Juno,241.92036250936525
20,Vesta,238.7222380416521
21,intp. Apogee,247.26610599304834
0,house1,237.5134610901231
1,house2,268.59339155056716
2,house3,304.8915739949802
3,house4,341.52386239063725
4,house5,12.546471012048244
5,house6,37.16201892894793
6,house7,57.51346109012309
7,house8,88.59339155056716
8,house9,124.8915739949802
9,house10,161.52386239063725
10,house11,192.54647101204824
11,house12,217.16201892894793
0,10001,204.7923062263608
1,10002,183.67552282171016
2,10003,241.92036250936525
3,10004,238.7222380416521
4,10005,3.546589347130731
5,10006,175.20412975206185
6,10007,178.0688311918054
7,10008,93.39886508939975
8,10009,277.8042184649465
9,10010,128.17500361085308
10,10011,312.15769243325616
11,10012,241.9907144987239
12,10013,281.93365211311345
13,10014,334.78837627856717
14,10015,85.57236727372799
15,10016,163.15332374319706
16,10017,326.68068959170574
17,10018,336.55933253151807
18,10019,272.5201017920806
